"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Удаление задания","LMS service","Sat Feb 21 09:04:02 UTC 2026","passed","Sat Feb 21 09:04:02 UTC 2026","Delete entity","Exercises","",""
"","21","Получение списка заданий","LMS service","Sat Feb 21 09:04:03 UTC 2026","passed","Sat Feb 21 09:04:03 UTC 2026","Get entities","Exercises","",""
"","266","Создание файла с пустым directory","LMS service","Sat Feb 21 09:04:04 UTC 2026","passed","Sat Feb 21 09:04:05 UTC 2026","Validate entity","Files","",""
"","49","Обновление курса","LMS service","Sat Feb 21 09:03:59 UTC 2026","passed","Sat Feb 21 09:03:59 UTC 2026","Update entity","Courses","",""
"","253","Создание файла с пустым filename","LMS service","Sat Feb 21 09:04:04 UTC 2026","passed","Sat Feb 21 09:04:04 UTC 2026","Validate entity","Files","",""
"","257","Получение файла с некорректным file_id","LMS service","Sat Feb 21 09:04:06 UTC 2026","passed","Sat Feb 21 09:04:06 UTC 2026","Validate entity","Files","",""
"","24","Обновление задания","LMS service","Sat Feb 21 09:04:00 UTC 2026","passed","Sat Feb 21 09:04:00 UTC 2026","Update entity","Exercises","",""
"","18","Удаление файла","LMS service","Sat Feb 21 09:04:05 UTC 2026","passed","Sat Feb 21 09:04:05 UTC 2026","Delete entity","Files","",""
"","25","Получение задания","LMS service","Sat Feb 21 09:04:02 UTC 2026","passed","Sat Feb 21 09:04:02 UTC 2026","Get entity","Exercises","",""
"","559","Создание пользователя","LMS service","Sat Feb 21 09:04:06 UTC 2026","passed","Sat Feb 21 09:04:07 UTC 2026","Create entity","Users","",""
"","287","Создание пользователя","LMS service","Sat Feb 21 09:04:06 UTC 2026","passed","Sat Feb 21 09:04:06 UTC 2026","Create entity","Users","",""
"","545","Создание пользователя","LMS service","Sat Feb 21 09:04:05 UTC 2026","passed","Sat Feb 21 09:04:06 UTC 2026","Create entity","Users","",""
"","11","Получение информации о текущем пользователе","LMS service","Sat Feb 21 09:04:07 UTC 2026","passed","Sat Feb 21 09:04:07 UTC 2026","Get entity","Users","",""
"","31","Создание курса","LMS service","Sat Feb 21 09:03:59 UTC 2026","passed","Sat Feb 21 09:03:59 UTC 2026","Create entity","Courses","",""
"","287","Получение файла","LMS service","Sat Feb 21 09:04:04 UTC 2026","passed","Sat Feb 21 09:04:04 UTC 2026","Get entity","Files","",""
"","18","Создание файла","LMS service","Sat Feb 21 09:04:03 UTC 2026","passed","Sat Feb 21 09:04:03 UTC 2026","Create entity","Files","",""
"","543","Авторизация с корректным email и password","LMS service","Sat Feb 21 09:03:57 UTC 2026","passed","Sat Feb 21 09:03:58 UTC 2026","Login","Authentication","",""
"","26","Создание задания","LMS service","Sat Feb 21 09:04:00 UTC 2026","passed","Sat Feb 21 09:04:00 UTC 2026","Create entity","Exercises","",""
"","32","Получение курса","LMS service","Sat Feb 21 09:03:58 UTC 2026","passed","Sat Feb 21 09:03:58 UTC 2026","Get entities","Courses","",""
