"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Получение задания","LMS service","Mon Feb 16 06:40:08 UTC 2026","passed","Mon Feb 16 06:40:09 UTC 2026","Get entity","Exercises","",""
"","566","Создание пользователя","LMS service","Mon Feb 16 06:40:12 UTC 2026","passed","Mon Feb 16 06:40:13 UTC 2026","Create entity","Users","",""
"","31","Создание курса","LMS service","Mon Feb 16 06:40:06 UTC 2026","passed","Mon Feb 16 06:40:06 UTC 2026","Create entity","Courses","",""
"","561","Создание пользователя","LMS service","Mon Feb 16 06:40:13 UTC 2026","passed","Mon Feb 16 06:40:14 UTC 2026","Create entity","Users","",""
"","13","Получение информации о текущем пользователе","LMS service","Mon Feb 16 06:40:14 UTC 2026","passed","Mon Feb 16 06:40:14 UTC 2026","Get entity","Users","",""
"","256","Получение файла с некорректным file_id","LMS service","Mon Feb 16 06:40:13 UTC 2026","passed","Mon Feb 16 06:40:13 UTC 2026","Validate entity","Files","",""
"","32","Получение курса","LMS service","Mon Feb 16 06:40:05 UTC 2026","passed","Mon Feb 16 06:40:05 UTC 2026","Get entities","Courses","",""
"","290","Обновление задания","LMS service","Mon Feb 16 06:40:07 UTC 2026","passed","Mon Feb 16 06:40:08 UTC 2026","Update entity","Exercises","",""
"","546","Авторизация с корректным email и password","LMS service","Mon Feb 16 06:40:04 UTC 2026","passed","Mon Feb 16 06:40:05 UTC 2026","Login","Authentication","",""
"","13","Получение файла","LMS service","Mon Feb 16 06:40:11 UTC 2026","passed","Mon Feb 16 06:40:11 UTC 2026","Get entity","Files","",""
"","51","Обновление курса","LMS service","Mon Feb 16 06:40:06 UTC 2026","passed","Mon Feb 16 06:40:06 UTC 2026","Update entity","Courses","",""
"","287","Получение списка заданий","LMS service","Mon Feb 16 06:40:09 UTC 2026","passed","Mon Feb 16 06:40:10 UTC 2026","Get entities","Exercises","",""
"","293","Удаление файла","LMS service","Mon Feb 16 06:40:12 UTC 2026","passed","Mon Feb 16 06:40:12 UTC 2026","Delete entity","Files","",""
"","562","Создание пользователя","LMS service","Mon Feb 16 06:40:13 UTC 2026","passed","Mon Feb 16 06:40:14 UTC 2026","Create entity","Users","",""
"","18","Удаление задания","LMS service","Mon Feb 16 06:40:09 UTC 2026","passed","Mon Feb 16 06:40:09 UTC 2026","Delete entity","Exercises","",""
"","19","Создание файла","LMS service","Mon Feb 16 06:40:10 UTC 2026","passed","Mon Feb 16 06:40:10 UTC 2026","Create entity","Files","",""
"","264","Создание файла с пустым directory","LMS service","Mon Feb 16 06:40:12 UTC 2026","passed","Mon Feb 16 06:40:12 UTC 2026","Validate entity","Files","",""
"","14","Создание файла с пустым filename","LMS service","Mon Feb 16 06:40:11 UTC 2026","passed","Mon Feb 16 06:40:11 UTC 2026","Validate entity","Files","",""
"","22","Создание задания","LMS service","Mon Feb 16 06:40:07 UTC 2026","passed","Mon Feb 16 06:40:07 UTC 2026","Create entity","Exercises","",""
