"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Создание файла с пустым filename","LMS service","Tue Mar 03 17:08:05 UTC 2026","passed","Tue Mar 03 17:08:05 UTC 2026","Validate entity","Files","",""
"","277","Обновление задания","LMS service","Tue Mar 03 17:08:02 UTC 2026","passed","Tue Mar 03 17:08:02 UTC 2026","Update entity","Exercises","",""
"","26","Получение курса","LMS service","Tue Mar 03 17:07:59 UTC 2026","passed","Tue Mar 03 17:07:59 UTC 2026","Get entities","Courses","",""
"","30","Создание курса","LMS service","Tue Mar 03 17:08:01 UTC 2026","passed","Tue Mar 03 17:08:01 UTC 2026","Create entity","Courses","",""
"","274","Создание пользователя","LMS service","Tue Mar 03 17:08:07 UTC 2026","passed","Tue Mar 03 17:08:07 UTC 2026","Create entity","Users","",""
"","18","Удаление задания","LMS service","Tue Mar 03 17:08:03 UTC 2026","passed","Tue Mar 03 17:08:03 UTC 2026","Delete entity","Exercises","",""
"","244","Получение файла с некорректным file_id","LMS service","Tue Mar 03 17:08:07 UTC 2026","passed","Tue Mar 03 17:08:07 UTC 2026","Validate entity","Files","",""
"","522","Создание пользователя","LMS service","Tue Mar 03 17:08:07 UTC 2026","passed","Tue Mar 03 17:08:07 UTC 2026","Create entity","Users","",""
"","271","Получение списка заданий","LMS service","Tue Mar 03 17:08:04 UTC 2026","passed","Tue Mar 03 17:08:04 UTC 2026","Get entities","Exercises","",""
"","275","Получение задания","LMS service","Tue Mar 03 17:08:03 UTC 2026","passed","Tue Mar 03 17:08:03 UTC 2026","Get entity","Exercises","",""
"","21","Создание задания","LMS service","Tue Mar 03 17:08:02 UTC 2026","passed","Tue Mar 03 17:08:02 UTC 2026","Create entity","Exercises","",""
"","17","Создание файла","LMS service","Tue Mar 03 17:08:04 UTC 2026","passed","Tue Mar 03 17:08:04 UTC 2026","Create entity","Files","",""
"","248","Создание файла с пустым directory","LMS service","Tue Mar 03 17:08:06 UTC 2026","passed","Tue Mar 03 17:08:06 UTC 2026","Validate entity","Files","",""
"","519","Авторизация с корректным email и password","LMS service","Tue Mar 03 17:07:59 UTC 2026","passed","Tue Mar 03 17:07:59 UTC 2026","Login","Authentication","",""
"","278","Удаление файла","LMS service","Tue Mar 03 17:08:06 UTC 2026","passed","Tue Mar 03 17:08:07 UTC 2026","Delete entity","Files","",""
"","530","Создание пользователя","LMS service","Tue Mar 03 17:08:07 UTC 2026","passed","Tue Mar 03 17:08:08 UTC 2026","Create entity","Users","",""
"","48","Обновление курса","LMS service","Tue Mar 03 17:08:01 UTC 2026","passed","Tue Mar 03 17:08:01 UTC 2026","Update entity","Courses","",""
"","12","Получение информации о текущем пользователе","LMS service","Tue Mar 03 17:08:08 UTC 2026","passed","Tue Mar 03 17:08:08 UTC 2026","Get entity","Users","",""
"","12","Получение файла","LMS service","Tue Mar 03 17:08:05 UTC 2026","passed","Tue Mar 03 17:08:05 UTC 2026","Get entity","Files","",""
