"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Создание файла","LMS service","Sun Mar 01 18:48:21 UTC 2026","passed","Sun Mar 01 18:48:21 UTC 2026","Create entity","Files","",""
"","24","Создание задания","LMS service","Sun Mar 01 18:48:18 UTC 2026","passed","Sun Mar 01 18:48:18 UTC 2026","Create entity","Exercises","",""
"","19","Удаление задания","LMS service","Sun Mar 01 18:48:19 UTC 2026","passed","Sun Mar 01 18:48:19 UTC 2026","Delete entity","Exercises","",""
"","270","Получение файла с некорректным file_id","LMS service","Sun Mar 01 18:48:23 UTC 2026","passed","Sun Mar 01 18:48:24 UTC 2026","Validate entity","Files","",""
"","20","Обновление задания","LMS service","Sun Mar 01 18:48:18 UTC 2026","passed","Sun Mar 01 18:48:18 UTC 2026","Update entity","Exercises","",""
"","28","Получение курса","LMS service","Sun Mar 01 18:48:16 UTC 2026","passed","Sun Mar 01 18:48:16 UTC 2026","Get entities","Courses","",""
"","254","Создание файла с пустым filename","LMS service","Sun Mar 01 18:48:21 UTC 2026","passed","Sun Mar 01 18:48:22 UTC 2026","Validate entity","Files","",""
"","30","Создание курса","LMS service","Sun Mar 01 18:48:17 UTC 2026","passed","Sun Mar 01 18:48:17 UTC 2026","Create entity","Courses","",""
"","11","Получение информации о текущем пользователе","LMS service","Sun Mar 01 18:48:25 UTC 2026","passed","Sun Mar 01 18:48:25 UTC 2026","Get entity","Users","",""
"","291","Удаление файла","LMS service","Sun Mar 01 18:48:23 UTC 2026","passed","Sun Mar 01 18:48:23 UTC 2026","Delete entity","Files","",""
"","288","Создание пользователя","LMS service","Sun Mar 01 18:48:24 UTC 2026","passed","Sun Mar 01 18:48:24 UTC 2026","Create entity","Users","",""
"","24","Получение задания","LMS service","Sun Mar 01 18:48:19 UTC 2026","passed","Sun Mar 01 18:48:19 UTC 2026","Get entity","Exercises","",""
"","557","Создание пользователя","LMS service","Sun Mar 01 18:48:24 UTC 2026","passed","Sun Mar 01 18:48:24 UTC 2026","Create entity","Users","",""
"","545","Авторизация с корректным email и password","LMS service","Sun Mar 01 18:48:15 UTC 2026","passed","Sun Mar 01 18:48:16 UTC 2026","Login","Authentication","",""
"","553","Создание пользователя","LMS service","Sun Mar 01 18:48:23 UTC 2026","passed","Sun Mar 01 18:48:24 UTC 2026","Create entity","Users","",""
"","14","Получение файла","LMS service","Sun Mar 01 18:48:22 UTC 2026","passed","Sun Mar 01 18:48:22 UTC 2026","Get entity","Files","",""
"","19","Получение списка заданий","LMS service","Sun Mar 01 18:48:21 UTC 2026","passed","Sun Mar 01 18:48:21 UTC 2026","Get entities","Exercises","",""
"","51","Обновление курса","LMS service","Sun Mar 01 18:48:17 UTC 2026","passed","Sun Mar 01 18:48:17 UTC 2026","Update entity","Courses","",""
"","258","Создание файла с пустым directory","LMS service","Sun Mar 01 18:48:23 UTC 2026","passed","Sun Mar 01 18:48:23 UTC 2026","Validate entity","Files","",""
