"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Удаление файла","LMS service","Sun Mar 01 18:43:11 UTC 2026","passed","Sun Mar 01 18:43:11 UTC 2026","Delete entity","Files","",""
"","282","Получение файла с некорректным file_id","LMS service","Sun Mar 01 18:43:11 UTC 2026","passed","Sun Mar 01 18:43:11 UTC 2026","Validate entity","Files","",""
"","17","Обновление задания","LMS service","Sun Mar 01 18:43:06 UTC 2026","passed","Sun Mar 01 18:43:06 UTC 2026","Update entity","Exercises","",""
"","237","Создание файла с пустым filename","LMS service","Sun Mar 01 18:43:09 UTC 2026","passed","Sun Mar 01 18:43:09 UTC 2026","Validate entity","Files","",""
"","530","Создание пользователя","LMS service","Sun Mar 01 18:43:11 UTC 2026","passed","Sun Mar 01 18:43:12 UTC 2026","Create entity","Users","",""
"","29","Создание задания","LMS service","Sun Mar 01 18:43:06 UTC 2026","passed","Sun Mar 01 18:43:06 UTC 2026","Create entity","Exercises","",""
"","20","Получение списка заданий","LMS service","Sun Mar 01 18:43:08 UTC 2026","passed","Sun Mar 01 18:43:08 UTC 2026","Get entities","Exercises","",""
"","243","Создание файла с пустым directory","LMS service","Sun Mar 01 18:43:10 UTC 2026","passed","Sun Mar 01 18:43:10 UTC 2026","Validate entity","Files","",""
"","21","Создание файла","LMS service","Sun Mar 01 18:43:08 UTC 2026","passed","Sun Mar 01 18:43:08 UTC 2026","Create entity","Files","",""
"","273","Получение файла","LMS service","Sun Mar 01 18:43:09 UTC 2026","passed","Sun Mar 01 18:43:10 UTC 2026","Get entity","Files","",""
"","516","Авторизация с корректным email и password","LMS service","Sun Mar 01 18:43:03 UTC 2026","passed","Sun Mar 01 18:43:04 UTC 2026","Login","Authentication","",""
"","24","Получение задания","LMS service","Sun Mar 01 18:43:07 UTC 2026","passed","Sun Mar 01 18:43:07 UTC 2026","Get entity","Exercises","",""
"","530","Создание пользователя","LMS service","Sun Mar 01 18:43:11 UTC 2026","passed","Sun Mar 01 18:43:11 UTC 2026","Create entity","Users","",""
"","530","Создание пользователя","LMS service","Sun Mar 01 18:43:11 UTC 2026","passed","Sun Mar 01 18:43:12 UTC 2026","Create entity","Users","",""
"","12","Получение информации о текущем пользователе","LMS service","Sun Mar 01 18:43:13 UTC 2026","passed","Sun Mar 01 18:43:13 UTC 2026","Get entity","Users","",""
"","47","Обновление курса","LMS service","Sun Mar 01 18:43:05 UTC 2026","passed","Sun Mar 01 18:43:05 UTC 2026","Update entity","Courses","",""
"","30","Создание курса","LMS service","Sun Mar 01 18:43:05 UTC 2026","passed","Sun Mar 01 18:43:05 UTC 2026","Create entity","Courses","",""
"","17","Удаление задания","LMS service","Sun Mar 01 18:43:07 UTC 2026","passed","Sun Mar 01 18:43:07 UTC 2026","Delete entity","Exercises","",""
"","25","Получение курса","LMS service","Sun Mar 01 18:43:04 UTC 2026","passed","Sun Mar 01 18:43:04 UTC 2026","Get entities","Courses","",""
