"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Создание задания","LMS service","Tue Mar 03 16:40:13 UTC 2026","passed","Tue Mar 03 16:40:13 UTC 2026","Create entity","Exercises","",""
"","25","Обновление задания","LMS service","Tue Mar 03 16:40:13 UTC 2026","passed","Tue Mar 03 16:40:13 UTC 2026","Update entity","Exercises","",""
"","549","Авторизация с корректным email и password","LMS service","Tue Mar 03 16:40:10 UTC 2026","passed","Tue Mar 03 16:40:10 UTC 2026","Login","Authentication","",""
"","566","Создание пользователя","LMS service","Tue Mar 03 16:40:19 UTC 2026","passed","Tue Mar 03 16:40:19 UTC 2026","Create entity","Users","",""
"","29","Получение курса","LMS service","Tue Mar 03 16:40:11 UTC 2026","passed","Tue Mar 03 16:40:11 UTC 2026","Get entities","Courses","",""
"","268","Создание файла с пустым directory","LMS service","Tue Mar 03 16:40:18 UTC 2026","passed","Tue Mar 03 16:40:18 UTC 2026","Validate entity","Files","",""
"","17","Создание файла","LMS service","Tue Mar 03 16:40:16 UTC 2026","passed","Tue Mar 03 16:40:16 UTC 2026","Create entity","Files","",""
"","27","Удаление задания","LMS service","Tue Mar 03 16:40:14 UTC 2026","passed","Tue Mar 03 16:40:14 UTC 2026","Delete entity","Exercises","",""
"","552","Создание пользователя","LMS service","Tue Mar 03 16:40:18 UTC 2026","passed","Tue Mar 03 16:40:19 UTC 2026","Create entity","Users","",""
"","16","Создание файла с пустым filename","LMS service","Tue Mar 03 16:40:17 UTC 2026","passed","Tue Mar 03 16:40:17 UTC 2026","Validate entity","Files","",""
"","11","Получение информации о текущем пользователе","LMS service","Tue Mar 03 16:40:20 UTC 2026","passed","Tue Mar 03 16:40:20 UTC 2026","Get entity","Users","",""
"","262","Получение файла с некорректным file_id","LMS service","Tue Mar 03 16:40:19 UTC 2026","passed","Tue Mar 03 16:40:19 UTC 2026","Validate entity","Files","",""
"","287","Получение списка заданий","LMS service","Tue Mar 03 16:40:15 UTC 2026","passed","Tue Mar 03 16:40:16 UTC 2026","Get entities","Exercises","",""
"","13","Получение файла","LMS service","Tue Mar 03 16:40:17 UTC 2026","passed","Tue Mar 03 16:40:17 UTC 2026","Get entity","Files","",""
"","304","Удаление файла","LMS service","Tue Mar 03 16:40:18 UTC 2026","passed","Tue Mar 03 16:40:18 UTC 2026","Delete entity","Files","",""
"","19","Получение задания","LMS service","Tue Mar 03 16:40:14 UTC 2026","passed","Tue Mar 03 16:40:14 UTC 2026","Get entity","Exercises","",""
"","560","Создание пользователя","LMS service","Tue Mar 03 16:40:19 UTC 2026","passed","Tue Mar 03 16:40:19 UTC 2026","Create entity","Users","",""
"","54","Обновление курса","LMS service","Tue Mar 03 16:40:12 UTC 2026","passed","Tue Mar 03 16:40:12 UTC 2026","Update entity","Courses","",""
"","33","Создание курса","LMS service","Tue Mar 03 16:40:12 UTC 2026","passed","Tue Mar 03 16:40:12 UTC 2026","Create entity","Courses","",""
