"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Создание файла","LMS service","Tue Mar 03 16:42:48 UTC 2026","passed","Tue Mar 03 16:42:48 UTC 2026","Create entity","Files","",""
"","33","Получение курса","LMS service","Tue Mar 03 16:42:43 UTC 2026","passed","Tue Mar 03 16:42:43 UTC 2026","Get entities","Courses","",""
"","21","Получение списка заданий","LMS service","Tue Mar 03 16:42:48 UTC 2026","passed","Tue Mar 03 16:42:48 UTC 2026","Get entities","Exercises","",""
"","303","Удаление файла","LMS service","Tue Mar 03 16:42:50 UTC 2026","passed","Tue Mar 03 16:42:50 UTC 2026","Delete entity","Files","",""
"","259","Создание файла с пустым filename","LMS service","Tue Mar 03 16:42:48 UTC 2026","passed","Tue Mar 03 16:42:49 UTC 2026","Validate entity","Files","",""
"","289","Создание пользователя","LMS service","Tue Mar 03 16:42:51 UTC 2026","passed","Tue Mar 03 16:42:51 UTC 2026","Create entity","Users","",""
"","21","Обновление задания","LMS service","Tue Mar 03 16:42:45 UTC 2026","passed","Tue Mar 03 16:42:45 UTC 2026","Update entity","Exercises","",""
"","17","Получение файла","LMS service","Tue Mar 03 16:42:49 UTC 2026","passed","Tue Mar 03 16:42:49 UTC 2026","Get entity","Files","",""
"","18","Создание задания","LMS service","Tue Mar 03 16:42:45 UTC 2026","passed","Tue Mar 03 16:42:45 UTC 2026","Create entity","Exercises","",""
"","258","Создание файла с пустым directory","LMS service","Tue Mar 03 16:42:50 UTC 2026","passed","Tue Mar 03 16:42:50 UTC 2026","Validate entity","Files","",""
"","547","Авторизация с корректным email и password","LMS service","Tue Mar 03 16:42:42 UTC 2026","passed","Tue Mar 03 16:42:43 UTC 2026","Login","Authentication","",""
"","31","Удаление задания","LMS service","Tue Mar 03 16:42:46 UTC 2026","passed","Tue Mar 03 16:42:46 UTC 2026","Delete entity","Exercises","",""
"","58","Обновление курса","LMS service","Tue Mar 03 16:42:44 UTC 2026","passed","Tue Mar 03 16:42:44 UTC 2026","Update entity","Courses","",""
"","547","Создание пользователя","LMS service","Tue Mar 03 16:42:51 UTC 2026","passed","Tue Mar 03 16:42:51 UTC 2026","Create entity","Users","",""
"","13","Получение информации о текущем пользователе","LMS service","Tue Mar 03 16:42:52 UTC 2026","passed","Tue Mar 03 16:42:52 UTC 2026","Get entity","Users","",""
"","34","Создание курса","LMS service","Tue Mar 03 16:42:44 UTC 2026","passed","Tue Mar 03 16:42:44 UTC 2026","Create entity","Courses","",""
"","540","Создание пользователя","LMS service","Tue Mar 03 16:42:50 UTC 2026","passed","Tue Mar 03 16:42:51 UTC 2026","Create entity","Users","",""
"","265","Получение файла с некорректным file_id","LMS service","Tue Mar 03 16:42:51 UTC 2026","passed","Tue Mar 03 16:42:51 UTC 2026","Validate entity","Files","",""
"","21","Получение задания","LMS service","Tue Mar 03 16:42:46 UTC 2026","passed","Tue Mar 03 16:42:46 UTC 2026","Get entity","Exercises","",""
