"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Удаление задания","LMS service","Sat Feb 21 09:16:33 UTC 2026","passed","Sat Feb 21 09:16:33 UTC 2026","Delete entity","Exercises","",""
"","564","Создание пользователя","LMS service","Sat Feb 21 09:16:37 UTC 2026","passed","Sat Feb 21 09:16:38 UTC 2026","Create entity","Users","",""
"","13","Получение информации о текущем пользователе","LMS service","Sat Feb 21 09:16:39 UTC 2026","passed","Sat Feb 21 09:16:39 UTC 2026","Get entity","Users","",""
"","267","Создание файла","LMS service","Sat Feb 21 09:16:34 UTC 2026","passed","Sat Feb 21 09:16:34 UTC 2026","Create entity","Files","",""
"","562","Создание пользователя","LMS service","Sat Feb 21 09:16:37 UTC 2026","passed","Sat Feb 21 09:16:38 UTC 2026","Create entity","Users","",""
"","14","Получение файла","LMS service","Sat Feb 21 09:16:35 UTC 2026","passed","Sat Feb 21 09:16:35 UTC 2026","Get entity","Files","",""
"","598","Обновление курса","LMS service","Sat Feb 21 09:16:30 UTC 2026","passed","Sat Feb 21 09:16:30 UTC 2026","Update entity","Courses","",""
"","257","Получение файла с некорректным file_id","LMS service","Sat Feb 21 09:16:37 UTC 2026","passed","Sat Feb 21 09:16:37 UTC 2026","Validate entity","Files","",""
"","547","Создание пользователя","LMS service","Sat Feb 21 09:16:37 UTC 2026","passed","Sat Feb 21 09:16:37 UTC 2026","Create entity","Users","",""
"","290","Обновление задания","LMS service","Sat Feb 21 09:16:32 UTC 2026","passed","Sat Feb 21 09:16:32 UTC 2026","Update entity","Exercises","",""
"","23","Создание задания","LMS service","Sat Feb 21 09:16:31 UTC 2026","passed","Sat Feb 21 09:16:31 UTC 2026","Create entity","Exercises","",""
"","266","Создание файла с пустым filename","LMS service","Sat Feb 21 09:16:35 UTC 2026","passed","Sat Feb 21 09:16:36 UTC 2026","Validate entity","Files","",""
"","23","Удаление файла","LMS service","Sat Feb 21 09:16:37 UTC 2026","passed","Sat Feb 21 09:16:37 UTC 2026","Delete entity","Files","",""
"","19","Получение задания","LMS service","Sat Feb 21 09:16:33 UTC 2026","passed","Sat Feb 21 09:16:33 UTC 2026","Get entity","Exercises","",""
"","17","Получение списка заданий","LMS service","Sat Feb 21 09:16:34 UTC 2026","passed","Sat Feb 21 09:16:34 UTC 2026","Get entities","Exercises","",""
"","303","Создание курса","LMS service","Sat Feb 21 09:16:30 UTC 2026","passed","Sat Feb 21 09:16:31 UTC 2026","Create entity","Courses","",""
"","287","Авторизация с корректным email и password","LMS service","Sat Feb 21 09:16:29 UTC 2026","passed","Sat Feb 21 09:16:29 UTC 2026","Login","Authentication","",""
"","264","Создание файла с пустым directory","LMS service","Sat Feb 21 09:16:36 UTC 2026","passed","Sat Feb 21 09:16:36 UTC 2026","Validate entity","Files","",""
"","307","Получение курса","LMS service","Sat Feb 21 09:16:29 UTC 2026","passed","Sat Feb 21 09:16:30 UTC 2026","Get entities","Courses","",""
